prescribing_cost,date,prescribing_items,prescribing_quantity,organisation_code,organisation_name,year,month,cost_per_item
1120.64,2021-07-01,359,16648,00T,NHS BOLTON,2021,7,3.1215598885793874
870.36,2021-07-01,270,13727,00V,NHS BURY,2021,7,3.2235555555555555
763.6,2021-07-01,276,11777,00X,NHS CHORLEY AND SOUTH RIBBLE,2021,7,2.7666666666666666
1136.66,2021-07-01,411,21529,00Y,NHS OLDHAM,2021,7,2.7655961070559614
1213.54,2021-07-01,446,17644,01A,NHS EAST LANCASHIRE,2021,7,2.7209417040358743
996.48,2021-07-01,382,17449,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",2021,7,2.608586387434555
948.24,2021-07-01,349,15049,01E,NHS GREATER PRESTON,2021,7,2.7170200573065904
443.08,2021-07-01,178,6641,01F,NHS HALTON,2021,7,2.4892134831460675
1292.95,2021-07-01,407,20577,01G,NHS SALFORD,2021,7,3.176781326781327
2028.37,2021-07-01,823,26687,01H,NHS NORTH CUMBRIA,2021,7,2.46460510328068
432.11,2021-07-01,185,5592,01J,NHS KNOWSLEY,2021,7,2.3357297297297297
2049.8,2021-07-01,761,29815,01K,NHS MORECAMBE BAY,2021,7,2.6935611038107754
530.1,2021-07-01,194,7400,01T,NHS SOUTH SEFTON,2021,7,2.7324742268041238
497.65,2021-07-01,199,6734,01V,NHS SOUTHPORT AND FORMBY,2021,7,2.500753768844221
1269.26,2021-07-01,453,19881,01W,NHS STOCKPORT,2021,7,2.8018984547461367
571.63,2021-07-01,207,8087,01X,NHS ST HELENS,2021,7,2.761497584541063
458.43,2021-07-01,168,6535,01Y,NHS TAMESIDE AND GLOSSOP,2021,7,2.7287500000000002
1189.2,2021-07-01,417,18448,02A,NHS TRAFFORD,2021,7,2.8517985611510794
672.2,2021-07-01,270,9575,02E,NHS WARRINGTON,2021,7,2.4896296296296296
348.67,2021-07-01,136,4711,02G,NHS WEST LANCASHIRE,2021,7,2.56375
1620.57,2021-07-01,579,26502,02H,NHS WIGAN BOROUGH,2021,7,2.7989119170984456
844.43,2021-07-01,328,11887,02M,NHS FYLDE AND WYRE,2021,7,2.574481707317073
1196.13,2021-07-01,451,14951,02P,NHS BARNSLEY,2021,7,2.6521729490022175
248.35,2021-07-01,83,2914,02Q,NHS BASSETLAW,2021,7,2.992168674698795
699.93,2021-07-01,277,9839,02T,NHS CALDERDALE,2021,7,2.5268231046931406
792.86,2021-07-01,310,10353,02X,NHS DONCASTER,2021,7,2.5576129032258064
1122.67,2021-07-01,436,13893,02Y,NHS EAST RIDING OF YORKSHIRE,2021,7,2.5749311926605505
1087.07,2021-07-01,414,15567,03F,NHS HULL,2021,7,2.6257729468599034
815.19,2021-07-01,308,10497,03H,NHS NORTH EAST LINCOLNSHIRE,2021,7,2.646720779220779
1014.27,2021-07-01,371,13875,03K,NHS NORTH LINCOLNSHIRE,2021,7,2.733881401617251
1279.09,2021-07-01,452,18651,03L,NHS ROTHERHAM,2021,7,2.8298451327433627
