prescribing_cost,date,prescribing_items,prescribing_quantity,organisation_code,organisation_name,year,month,cost_per_item
1100.43,2022-03-01,467,17958,05G,NHS NORTH STAFFORDSHIRE,2022,3,2.3563811563169166
828.15,2022-03-01,385,13765,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA,2022,3,2.151038961038961
838.2,2022-03-01,371,13317,05V,NHS STAFFORD AND SURROUNDS,2022,3,2.259299191374663
1066.65,2022-03-01,459,18534,05W,NHS STOKE ON TRENT,2022,3,2.323856209150327
5982.41,2022-03-01,2305,96845,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH,2022,3,2.595405639913232
3070.77,2022-03-01,1228,47685,06K,NHS EAST AND NORTH HERTFORDSHIRE,2022,3,2.500627035830619
1426.67,2022-03-01,615,22323,06L,NHS IPSWICH AND EAST SUFFOLK,2022,3,2.319788617886179
2876.48,2022-03-01,1200,47872,06N,NHS HERTS VALLEYS,2022,3,2.397066666666667
2136.65,2022-03-01,972,30405,06Q,NHS MID ESSEX,2022,3,2.198199588477366
2292.92,2022-03-01,976,36299,06T,NHS NORTH EAST ESSEX,2022,3,2.3493032786885246
642.68,2022-03-01,244,9627,07G,NHS THURROCK,2022,3,2.633934426229508
2050.87,2022-03-01,843,34277,07H,NHS WEST ESSEX,2022,3,2.43282325029656
1692,2022-03-01,729,24546,07K,NHS WEST SUFFOLK,2022,3,2.3209876543209877
1236.02,2022-03-01,538,19895,09D,NHS BRIGHTON AND HOVE,2022,3,2.297434944237918
3254.39,2022-03-01,1400,57121,10Q,NHS OXFORDSHIRE,2022,3,2.3245642857142856
1027.33,2022-03-01,405,16082,10R,NHS PORTSMOUTH,2022,3,2.536617283950617
2787.4,2022-03-01,1154,38549,11J,NHS DORSET,2022,3,2.415424610051993
2993.62,2022-03-01,1294,48988,11M,NHS GLOUCESTERSHIRE,2022,3,2.3134621329211744
2403.09,2022-03-01,1048,39066,11N,NHS CORNWALL AND THE ISLES OF SCILLY,2022,3,2.2930248091603054
1196.54,2022-03-01,457,20503,11X,NHS SOMERSET,2022,3,2.618249452954048
1798.21,2022-03-01,826,26296,12F,NHS WIRRAL,2022,3,2.1770096852300242
1918.24,2022-03-01,823,31036,13T,NHS NEWCASTLE GATESHEAD,2022,3,2.330789793438639
2303.07,2022-03-01,967,42082,14L,NHS MANCHESTER,2022,3,2.381664943123061
2303.46,2022-03-01,1035,35233,14Y,NHS BUCKINGHAMSHIRE,2022,3,2.2255652173913045
2154.76,2022-03-01,890,33777,15A,NHS BERKSHIRE WEST,2022,3,2.4210786516853937
3471.77,2022-03-01,1594,56629,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",2022,3,2.1780238393977416
6454.56,2022-03-01,2607,104961,15E,NHS BIRMINGHAM AND SOLIHULL,2022,3,2.4758573072497123
2297.87,2022-03-01,981,40631,15F,NHS LEEDS,2022,3,2.3423751274209987
4180.67,2022-03-01,1906,67528,15M,NHS DERBY AND DERBYSHIRE,2022,3,2.193426023084995
6335.74,2022-03-01,2639,103565,15N,NHS DEVON,2022,3,2.4008109132247064
2782.02,2022-03-01,1187,43206,16C,NHS TEES VALLEY,2022,3,2.3437405223251897
5405.07,2022-03-01,2371,88181,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE,2022,3,2.279658371994939
4812.14,2022-03-01,2077,72105,26A,NHS NORFOLK AND WAVENEY,2022,3,2.3168704862782863
2404.14,2022-03-01,1041,42426,27D,NHS CHESHIRE,2022,3,2.3094524495677233
1455.99,2022-03-01,608,26802,36J,NHS BRADFORD DISTRICT AND CRAVEN,2022,3,2.3947203947368423
5929.87,2022-03-01,2547,102627,36L,NHS SOUTH WEST LONDON,2022,3,2.3281782489202985
1067.82,2022-03-01,458,18387,42D,NHS NORTH YORKSHIRE,2022,3,2.331484716157205
3816.03,2022-03-01,1654,58102,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE,2022,3,2.307152357920194
4016.04,2022-03-01,1733,62749,70F,NHS WEST SUSSEX,2022,3,2.317391806116561
4809.67,2022-03-01,2152,73274,71E,NHS LINCOLNSHIRE,2022,3,2.2349767657992565
7372.33,2022-03-01,3181,122244,72Q,NHS SOUTH EAST LONDON,2022,3,2.3176139578748822
3327.07,2022-03-01,1367,55650,78H,NHS NORTHAMPTONSHIRE,2022,3,2.433847841989759
2466.88,2022-03-01,1021,39486,84H,NHS COUNTY DURHAM,2022,3,2.4161410381978454
8799.75,2022-03-01,3783,147442,91Q,NHS KENT AND MEDWAY,2022,3,2.326130055511499
4659.93,2022-03-01,2046,75923,92A,NHS SURREY HEARTLANDS,2022,3,2.2775806451612906
4078.85,2022-03-01,1733,62740,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",2022,3,2.3536353144835545
5676.08,2022-03-01,2418,104848,93C,NHS NORTH CENTRAL LONDON,2022,3,2.3474276261373035
2200.78,2022-03-01,939,35974,97R,NHS EAST SUSSEX,2022,3,2.3437486687965925
1628.78,2022-03-01,745,26872,99A,NHS LIVERPOOL,2022,3,2.186281879194631
1138.15,2022-03-01,427,18410,99C,NHS NORTH TYNESIDE,2022,3,2.6654566744730683
1300.53,2022-03-01,544,18948,99E,NHS BASILDON AND BRENTWOOD,2022,3,2.3906801470588235
1122.29,2022-03-01,481,16364,99F,NHS CASTLE POINT AND ROCHFORD,2022,3,2.3332432432432433
1491.34,2022-03-01,568,25156,99G,NHS SOUTHEND,2022,3,2.6255985915492954
9095.68,2022-03-01,3986,153979,A3A8R,NHS NORTH EAST LONDON,2022,3,2.281906673356749
5902.05,2022-03-01,2660,93146,B2M3M,NHS COVENTRY AND WARWICKSHIRE,2022,3,2.2188157894736844
5364.38,2022-03-01,1721,84118,D2P2L,NHS BLACK COUNTRY,2022,3,3.117013364323068
3911.83,2022-03-01,1639,66454,D4U1Y,NHS FRIMLEY,2022,3,2.3867175106772422
6733.02,2022-03-01,2977,107811,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",2022,3,2.2616795431642593
5508.07,2022-03-01,2358,86873,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",2022,3,2.335907548770144
1898.4,2022-03-01,755,32366,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",2022,3,2.514437086092715
8424.88,2022-03-01,3517,136054,W2U3Z,NHS NORTH WEST LONDON,2022,3,2.395473414842195
1753.79,2022-03-01,703,28729,X2C4Y,NHS KIRKLEES,2022,3,2.494722617354196
1515.93,2022-04-01,640,26968,00L,NHS NORTHUMBERLAND,2022,4,2.3686406250000003
458.41,2022-04-01,184,7964,00N,NHS SOUTH TYNESIDE,2022,4,2.491358695652174
747.64,2022-04-01,346,14035,00P,NHS SUNDERLAND,2022,4,2.160809248554913
503.17,2022-04-01,233,9358,00Q,NHS BLACKBURN WITH DARWEN,2022,4,2.159527896995708
650.78,2022-04-01,300,11179,00R,NHS BLACKPOOL,2022,4,2.1692666666666667
954.54,2022-04-01,348,17477,00T,NHS BOLTON,2022,4,2.7429310344827584
720.89,2022-04-01,282,13925,00V,NHS BURY,2022,4,2.5563475177304964
609.78,2022-04-01,241,10324,00X,NHS CHORLEY AND SOUTH RIBBLE,2022,4,2.530207468879668
821.38,2022-04-01,364,18568,00Y,NHS OLDHAM,2022,4,2.2565384615384616
977.85,2022-04-01,414,17199,01A,NHS EAST LANCASHIRE,2022,4,2.3619565217391303
743.55,2022-04-01,338,16147,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",2022,4,2.199852071005917
715.04,2022-04-01,304,13118,01E,NHS GREATER PRESTON,2022,4,2.3521052631578945
384.78,2022-04-01,180,7707,01F,NHS HALTON,2022,4,2.1376666666666666
1073.8,2022-04-01,397,22848,01G,NHS SALFORD,2022,4,2.704785894206549
1762.86,2022-04-01,757,27966,01H,NHS NORTH CUMBRIA,2022,4,2.3287450462351384
412.92,2022-04-01,193,7337,01J,NHS KNOWSLEY,2022,4,2.1394818652849743
1833.08,2022-04-01,770,29370,01K,NHS MORECAMBE BAY,2022,4,2.3806233766233764
366.84,2022-04-01,176,4820,01T,NHS SOUTH SEFTON,2022,4,2.0843181818181815
348.94,2022-04-01,150,6482,01V,NHS SOUTHPORT AND FORMBY,2022,4,2.3262666666666667
1048.72,2022-04-01,412,18624,01W,NHS STOCKPORT,2022,4,2.5454368932038838
470.62,2022-04-01,216,7829,01X,NHS ST HELENS,2022,4,2.178796296296296
489.66,2022-04-01,209,10129,01Y,NHS TAMESIDE AND GLOSSOP,2022,4,2.342870813397129
1121.05,2022-04-01,444,22111,02A,NHS TRAFFORD,2022,4,2.524887387387387
497.74,2022-04-01,239,7633,02E,NHS WARRINGTON,2022,4,2.0825941422594143
266.82,2022-04-01,114,3549,02G,NHS WEST LANCASHIRE,2022,4,2.340526315789474
1324.22,2022-04-01,557,22006,02H,NHS WIGAN BOROUGH,2022,4,2.377414721723519
775.5,2022-04-01,356,11984,02M,NHS FYLDE AND WYRE,2022,4,2.178370786516854
885.98,2022-04-01,373,13410,02P,NHS BARNSLEY,2022,4,2.3752815013404827
265.34,2022-04-01,119,3437,02Q,NHS BASSETLAW,2022,4,2.2297478991596638
556.01,2022-04-01,268,9967,02T,NHS CALDERDALE,2022,4,2.0746641791044778
915.6,2022-04-01,331,14687,02X,NHS DONCASTER,2022,4,2.7661631419939576
837.32,2022-04-01,369,12044,02Y,NHS EAST RIDING OF YORKSHIRE,2022,4,2.269159891598916
883.57,2022-04-01,376,13898,03F,NHS HULL,2022,4,2.3499202127659577
549.74,2022-04-01,244,8674,03H,NHS NORTH EAST LINCOLNSHIRE,2022,4,2.253032786885246
727.39,2022-04-01,312,12071,03K,NHS NORTH LINCOLNSHIRE,2022,4,2.331378205128205
997.72,2022-04-01,417,16244,03L,NHS ROTHERHAM,2022,4,2.3926139088729017
2891.03,2022-04-01,1167,48541,03N,NHS SHEFFIELD,2022,4,2.477317909168809
192.19,2022-04-01,86,3106,03Q,NHS VALE OF YORK,2022,4,2.2347674418604653
1150.76,2022-04-01,520,16763,03R,NHS WAKEFIELD,2022,4,2.213
2184.19,2022-04-01,918,36201,03W,NHS EAST LEICESTERSHIRE AND RUTLAND,2022,4,2.3792919389978215
1779.14,2022-04-01,780,34784,04C,NHS LEICESTER CITY,2022,4,2.2809487179487182
2466.08,2022-04-01,1089,40177,04V,NHS WEST LEICESTERSHIRE,2022,4,2.264536271808999
575.45,2022-04-01,261,7003,04Y,NHS CANNOCK CHASE,2022,4,2.2047892720306517
922.78,2022-04-01,388,14077,05D,NHS EAST STAFFORDSHIRE,2022,4,2.3782989690721648
1073.11,2022-04-01,429,17331,05G,NHS NORTH STAFFORDSHIRE,2022,4,2.5014219114219114
737.55,2022-04-01,345,10460,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA,2022,4,2.1378260869565215
773.38,2022-04-01,332,11750,05V,NHS STAFFORD AND SURROUNDS,2022,4,2.329457831325301
1082.03,2022-04-01,445,18012,05W,NHS STOKE ON TRENT,2022,4,2.4315280898876406
5290.16,2022-04-01,2116,84844,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH,2022,4,2.5000756143667298
2881.95,2022-04-01,1169,44877,06K,NHS EAST AND NORTH HERTFORDSHIRE,2022,4,2.465312232677502
1325.15,2022-04-01,595,20741,06L,NHS IPSWICH AND EAST SUFFOLK,2022,4,2.2271428571428573
2649.21,2022-04-01,1097,42680,06N,NHS HERTS VALLEYS,2022,4,2.4149589790337282
1845.95,2022-04-01,828,29294,06Q,NHS MID ESSEX,2022,4,2.2294082125603865
2019.23,2022-04-01,879,31636,06T,NHS NORTH EAST ESSEX,2022,4,2.297189988623436
661.06,2022-04-01,251,11923,07G,NHS THURROCK,2022,4,2.6337051792828685
1733.6,2022-04-01,706,27202,07H,NHS WEST ESSEX,2022,4,2.455524079320113
1472.97,2022-04-01,659,22420,07K,NHS WEST SUFFOLK,2022,4,2.2351593323216994
952.73,2022-04-01,411,14988,09D,NHS BRIGHTON AND HOVE,2022,4,2.3180778588807787
2869.92,2022-04-01,1240,52267,10Q,NHS OXFORDSHIRE,2022,4,2.314451612903226
730.67,2022-04-01,328,12508,10R,NHS PORTSMOUTH,2022,4,2.22765243902439
2739.06,2022-04-01,1131,38288,11J,NHS DORSET,2022,4,2.4218037135278516
2971.09,2022-04-01,1260,49085,11M,NHS GLOUCESTERSHIRE,2022,4,2.3580079365079367
2070.31,2022-04-01,931,30386,11N,NHS CORNWALL AND THE ISLES OF SCILLY,2022,4,2.22374865735768
1014.38,2022-04-01,433,17068,11X,NHS SOMERSET,2022,4,2.3426789838337183
1608.8,2022-04-01,743,24867,12F,NHS WIRRAL,2022,4,2.1652759084791384
1770.35,2022-04-01,723,28048,13T,NHS NEWCASTLE GATESHEAD,2022,4,2.448616874135546
2047.26,2022-04-01,866,36520,14L,NHS MANCHESTER,2022,4,2.364041570438799
2180.76,2022-04-01,979,36850,14Y,NHS BUCKINGHAMSHIRE,2022,4,2.227538304392237
1914.23,2022-04-01,782,32583,15A,NHS BERKSHIRE WEST,2022,4,2.4478644501278772
3175.55,2022-04-01,1407,55981,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",2022,4,2.2569651741293533
5557.32,2022-04-01,2347,90686,15E,NHS BIRMINGHAM AND SOLIHULL,2022,4,2.367839795483596
2084.77,2022-04-01,910,39839,15F,NHS LEEDS,2022,4,2.290956043956044
3782.08,2022-04-01,1727,59017,15M,NHS DERBY AND DERBYSHIRE,2022,4,2.18997104806022
6044.04,2022-04-01,2504,99466,15N,NHS DEVON,2022,4,2.4137539936102237
2500.46,2022-04-01,1075,39191,16C,NHS TEES VALLEY,2022,4,2.3260093023255815
4935.91,2022-04-01,2132,78717,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE,2022,4,2.31515478424015
4210.61,2022-04-01,1837,62946,26A,NHS NORFOLK AND WAVENEY,2022,4,2.292112139357648
2145.24,2022-04-01,925,35609,27D,NHS CHESHIRE,2022,4,2.319178378378378
1354.89,2022-04-01,555,24436,36J,NHS BRADFORD DISTRICT AND CRAVEN,2022,4,2.4412432432432434
5384.05,2022-04-01,2350,88947,36L,NHS SOUTH WEST LONDON,2022,4,2.2910851063829787
959.16,2022-04-01,400,16290,42D,NHS NORTH YORKSHIRE,2022,4,2.3979
3581.32,2022-04-01,1500,55603,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE,2022,4,2.3875466666666667
3642.96,2022-04-01,1562,60061,70F,NHS WEST SUSSEX,2022,4,2.3322407170294492
4136.44,2022-04-01,1875,64477,71E,NHS LINCOLNSHIRE,2022,4,2.2061013333333332
6499.59,2022-04-01,2731,109235,72Q,NHS SOUTH EAST LONDON,2022,4,2.3799304284145
2857.1,2022-04-01,1175,45621,78H,NHS NORTHAMPTONSHIRE,2022,4,2.431574468085106
2155.19,2022-04-01,914,35317,84H,NHS COUNTY DURHAM,2022,4,2.3579759299781182
7760.92,2022-04-01,3336,127551,91Q,NHS KENT AND MEDWAY,2022,4,2.3264148681055157
4442.07,2022-04-01,1914,75223,92A,NHS SURREY HEARTLANDS,2022,4,2.3208307210031345
3624.27,2022-04-01,1547,57264,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",2022,4,2.3427731092436974
4885.3,2022-04-01,2105,82749,93C,NHS NORTH CENTRAL LONDON,2022,4,2.320807600950119
2109.23,2022-04-01,932,35384,97R,NHS EAST SUSSEX,2022,4,2.2631223175965665
1517.38,2022-04-01,699,27993,99A,NHS LIVERPOOL,2022,4,2.1707868383404865
891.37,2022-04-01,364,13521,99C,NHS NORTH TYNESIDE,2022,4,2.448818681318681
1083.04,2022-04-01,454,15513,99E,NHS BASILDON AND BRENTWOOD,2022,4,2.3855506607929513
1155.25,2022-04-01,447,17413,99F,NHS CASTLE POINT AND ROCHFORD,2022,4,2.5844519015659957
1302.16,2022-04-01,529,21331,99G,NHS SOUTHEND,2022,4,2.4615500945179587
8189,2022-04-01,3568,139830,A3A8R,NHS NORTH EAST LONDON,2022,4,2.29512331838565
5348.5,2022-04-01,2430,87822,B2M3M,NHS COVENTRY AND WARWICKSHIRE,2022,4,2.201028806584362
3664.35,2022-04-01,1476,58147,D2P2L,NHS BLACK COUNTRY,2022,4,2.482621951219512
3504.07,2022-04-01,1429,58697,D4U1Y,NHS FRIMLEY,2022,4,2.4521133659902032
6052.77,2022-04-01,2659,95897,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",2022,4,2.276333207972922
4806.66,2022-04-01,2116,77335,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",2022,4,2.271578449905482
1740.88,2022-04-01,744,28260,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",2022,4,2.3398924731182795
7111.55,2022-04-01,3081,113906,W2U3Z,NHS NORTH WEST LONDON,2022,4,2.3081953911067834
1518.61,2022-04-01,619,25876,X2C4Y,NHS KIRKLEES,2022,4,2.4533279483037154
1568,2022-05-01,643,27444,00L,NHS NORTHUMBERLAND,2022,5,2.438569206842924
360.32,2022-05-01,163,6418,00N,NHS SOUTH TYNESIDE,2022,5,2.2105521472392637
980.98,2022-05-01,422,20381,00P,NHS SUNDERLAND,2022,5,2.3245971563981045
450.02,2022-05-01,209,7660,00Q,NHS BLACKBURN WITH DARWEN,2022,5,2.153205741626794
740.43,2022-05-01,349,11741,00R,NHS BLACKPOOL,2022,5,2.1215759312320914
853.89,2022-05-01,331,15064,00T,NHS BOLTON,2022,5,2.579728096676737
827.29,2022-05-01,310,14424,00V,NHS BURY,2022,5,2.6686774193548386
599.96,2022-05-01,242,10662,00X,NHS CHORLEY AND SOUTH RIBBLE,2022,5,2.4791735537190083
937.94,2022-05-01,409,19888,00Y,NHS OLDHAM,2022,5,2.2932518337408316
1007.12,2022-05-01,422,16286,01A,NHS EAST LANCASHIRE,2022,5,2.3865402843601897
778.42,2022-05-01,350,15839,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",2022,5,2.2240571428571427
788.6,2022-05-01,352,15442,01E,NHS GREATER PRESTON,2022,5,2.240340909090909
379.86,2022-05-01,169,6789,01F,NHS HALTON,2022,5,2.247692307692308
1215.76,2022-05-01,470,24443,01G,NHS SALFORD,2022,5,2.586723404255319
1576.08,2022-05-01,704,24733,01H,NHS NORTH CUMBRIA,2022,5,2.23875
404.59,2022-05-01,197,7094,01J,NHS KNOWSLEY,2022,5,2.053756345177665
2046.44,2022-05-01,851,35085,01K,NHS MORECAMBE BAY,2022,5,2.404747356051704
437.49,2022-05-01,199,7360,01T,NHS SOUTH SEFTON,2022,5,2.1984422110552764
507.55,2022-05-01,217,8790,01V,NHS SOUTHPORT AND FORMBY,2022,5,2.3389400921658985
1077.15,2022-05-01,440,22257,01W,NHS STOCKPORT,2022,5,2.448068181818182
534.77,2022-05-01,210,7252,01X,NHS ST HELENS,2022,5,2.5465238095238094
382.35,2022-05-01,168,7223,01Y,NHS TAMESIDE AND GLOSSOP,2022,5,2.2758928571428574
1028.08,2022-05-01,456,18915,02A,NHS TRAFFORD,2022,5,2.254561403508772
531.29,2022-05-01,237,8828,02E,NHS WARRINGTON,2022,5,2.241729957805907
246.22,2022-05-01,102,4411,02G,NHS WEST LANCASHIRE,2022,5,2.413921568627451
1374.37,2022-05-01,574,25304,02H,NHS WIGAN BOROUGH,2022,5,2.394372822299651
796.26,2022-05-01,378,13044,02M,NHS FYLDE AND WYRE,2022,5,2.1065079365079367
901.75,2022-05-01,398,13384,02P,NHS BARNSLEY,2022,5,2.26570351758794
321.45,2022-05-01,120,4271,02Q,NHS BASSETLAW,2022,5,2.67875
633.61,2022-05-01,280,10182,02T,NHS CALDERDALE,2022,5,2.262892857142857
702.17,2022-05-01,290,10173,02X,NHS DONCASTER,2022,5,2.421275862068965
843.15,2022-05-01,370,12134,02Y,NHS EAST RIDING OF YORKSHIRE,2022,5,2.278783783783784
895.21,2022-05-01,380,14455,03F,NHS HULL,2022,5,2.3558157894736844
632.72,2022-05-01,269,9299,03H,NHS NORTH EAST LINCOLNSHIRE,2022,5,2.352118959107807
596.43,2022-05-01,264,9886,03K,NHS NORTH LINCOLNSHIRE,2022,5,2.259204545454545
1101.03,2022-05-01,434,17670,03L,NHS ROTHERHAM,2022,5,2.536935483870968
3050.23,2022-05-01,1252,52877,03N,NHS SHEFFIELD,2022,5,2.4362859424920127
228.63,2022-05-01,102,3718,03Q,NHS VALE OF YORK,2022,5,2.241470588235294
1253.32,2022-05-01,579,18475,03R,NHS WAKEFIELD,2022,5,2.164628670120898
2464.47,2022-05-01,985,43037,03W,NHS EAST LEICESTERSHIRE AND RUTLAND,2022,5,2.502
1706.98,2022-05-01,773,29624,04C,NHS LEICESTER CITY,2022,5,2.208253557567917
2435.76,2022-05-01,1080,40350,04V,NHS WEST LEICESTERSHIRE,2022,5,2.2553333333333336
551.13,2022-05-01,231,9104,04Y,NHS CANNOCK CHASE,2022,5,2.385844155844156
867.31,2022-05-01,400,13224,05D,NHS EAST STAFFORDSHIRE,2022,5,2.168275
1061.47,2022-05-01,407,17699,05G,NHS NORTH STAFFORDSHIRE,2022,5,2.6080343980343983
699.52,2022-05-01,314,10640,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA,2022,5,2.2277707006369427
772.93,2022-05-01,344,10995,05V,NHS STAFFORD AND SURROUNDS,2022,5,2.246889534883721
944.47,2022-05-01,410,15140,05W,NHS STOKE ON TRENT,2022,5,2.3035853658536585
5828.22,2022-05-01,2243,90694,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH,2022,5,2.598403923316986
3032.35,2022-05-01,1188,51316,06K,NHS EAST AND NORTH HERTFORDSHIRE,2022,5,2.552483164983165
1250.24,2022-05-01,551,20266,06L,NHS IPSWICH AND EAST SUFFOLK,2022,5,2.269038112522686
2576.85,2022-05-01,1068,45299,06N,NHS HERTS VALLEYS,2022,5,2.4127808988764046
1780.59,2022-05-01,830,28325,06Q,NHS MID ESSEX,2022,5,2.145289156626506
2169.71,2022-05-01,936,36435,06T,NHS NORTH EAST ESSEX,2022,5,2.3180662393162392
513.75,2022-05-01,219,8853,07G,NHS THURROCK,2022,5,2.345890410958904
1714.53,2022-05-01,708,29407,07H,NHS WEST ESSEX,2022,5,2.421652542372881
1579.54,2022-05-01,662,23153,07K,NHS WEST SUFFOLK,2022,5,2.386012084592145
1096.15,2022-05-01,485,16598,09D,NHS BRIGHTON AND HOVE,2022,5,2.2601030927835053
2902.08,2022-05-01,1262,51334,10Q,NHS OXFORDSHIRE,2022,5,2.2995879556259906
843.79,2022-05-01,375,14303,10R,NHS PORTSMOUTH,2022,5,2.2501066666666665
2794.26,2022-05-01,1161,38611,11J,NHS DORSET,2022,5,2.4067700258397933
2656,2022-05-01,1193,42260,11M,NHS GLOUCESTERSHIRE,2022,5,2.2263202011735124
2216.34,2022-05-01,992,36456,11N,NHS CORNWALL AND THE ISLES OF SCILLY,2022,5,2.2342137096774195
1181.76,2022-05-01,492,20775,11X,NHS SOMERSET,2022,5,2.401951219512195
1417.16,2022-05-01,680,21141,12F,NHS WIRRAL,2022,5,2.084058823529412
1903.27,2022-05-01,781,29358,13T,NHS NEWCASTLE GATESHEAD,2022,5,2.4369654289372598
2129.06,2022-05-01,941,38250,14L,NHS MANCHESTER,2022,5,2.2625504782146653
2146.17,2022-05-01,998,35025,14Y,NHS BUCKINGHAMSHIRE,2022,5,2.1504709418837678
1951.47,2022-05-01,834,30350,15A,NHS BERKSHIRE WEST,2022,5,2.339892086330935
3325.43,2022-05-01,1528,56127,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",2022,5,2.1763285340314136
5670.78,2022-05-01,2330,93466,15E,NHS BIRMINGHAM AND SOLIHULL,2022,5,2.4338111587982834
2173.34,2022-05-01,961,40097,15F,NHS LEEDS,2022,5,2.2615400624349635
3996.47,2022-05-01,1851,67909,15M,NHS DERBY AND DERBYSHIRE,2022,5,2.159086980010805
5895.23,2022-05-01,2560,94192,15N,NHS DEVON,2022,5,2.3028242187499997
2518.72,2022-05-01,1110,41608,16C,NHS TEES VALLEY,2022,5,2.269117117117117
5286.09,2022-05-01,2329,84322,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE,2022,5,2.269682267067411
4649.14,2022-05-01,2035,66533,26A,NHS NORFOLK AND WAVENEY,2022,5,2.2845896805896806
2167.05,2022-05-01,952,36178,27D,NHS CHESHIRE,2022,5,2.2763130252100843
1458.46,2022-05-01,585,24356,36J,NHS BRADFORD DISTRICT AND CRAVEN,2022,5,2.493094017094017
5607.25,2022-05-01,2346,97244,36L,NHS SOUTH WEST LONDON,2022,5,2.390132139812447
969.74,2022-05-01,418,14739,42D,NHS NORTH YORKSHIRE,2022,5,2.319952153110048
3719.92,2022-05-01,1581,58668,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE,2022,5,2.352890575585073
3802.82,2022-05-01,1595,59905,70F,NHS WEST SUSSEX,2022,5,2.3842131661442005
4292.26,2022-05-01,1951,67933,71E,NHS LINCOLNSHIRE,2022,5,2.2000307534597643
6564.84,2022-05-01,2821,111917,72Q,NHS SOUTH EAST LONDON,2022,5,2.3271322226160938
3262.08,2022-05-01,1336,54168,78H,NHS NORTHAMPTONSHIRE,2022,5,2.4416766467065867
2270.94,2022-05-01,1007,35049,84H,NHS COUNTY DURHAM,2022,5,2.255153922542205
7708.85,2022-05-01,3319,127860,91Q,NHS KENT AND MEDWAY,2022,5,2.3226423621572763
4223.65,2022-05-01,1895,68961,92A,NHS SURREY HEARTLANDS,2022,5,2.228839050131926
3946.64,2022-05-01,1701,59907,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",2022,5,2.320188124632569
4849.32,2022-05-01,2144,82674,93C,NHS NORTH CENTRAL LONDON,2022,5,2.2618097014925374
2062.64,2022-05-01,910,32646,97R,NHS EAST SUSSEX,2022,5,2.2666373626373626
1509.39,2022-05-01,704,26240,99A,NHS LIVERPOOL,2022,5,2.1440198863636364
952.17,2022-05-01,400,16535,99C,NHS NORTH TYNESIDE,2022,5,2.380425
1148.32,2022-05-01,505,18795,99E,NHS BASILDON AND BRENTWOOD,2022,5,2.2739009900990097
1099.76,2022-05-01,468,17782,99F,NHS CASTLE POINT AND ROCHFORD,2022,5,2.34991452991453
1251.24,2022-05-01,508,20210,99G,NHS SOUTHEND,2022,5,2.463070866141732
8573.6,2022-05-01,3753,149961,A3A8R,NHS NORTH EAST LONDON,2022,5,2.284465760724754
5352.19,2022-05-01,2406,91608,B2M3M,NHS COVENTRY AND WARWICKSHIRE,2022,5,2.2245178719867
3828.83,2022-05-01,1605,63811,D2P2L,NHS BLACK COUNTRY,2022,5,2.3855638629283487
3569.16,2022-05-01,1516,58474,D4U1Y,NHS FRIMLEY,2022,5,2.3543271767810023
6187.43,2022-05-01,2786,96924,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",2022,5,2.220900933237617
5052.49,2022-05-01,2234,83278,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",2022,5,2.2616338406445835
1672.27,2022-05-01,677,27257,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",2022,5,2.4701181683899556
7391.95,2022-05-01,3134,120222,W2U3Z,NHS NORTH WEST LONDON,2022,5,2.3586311423101467
1668.47,2022-05-01,681,27702,X2C4Y,NHS KIRKLEES,2022,5,2.450029368575624
1439.11,2022-06-01,619,23295,00L,NHS NORTHUMBERLAND,2022,6,2.3248949919224553
